,IQ_ACCT_RECV_1YR_ANN_GROWTH_CS,IQ_AR_TURNS_CS,IQ_BV_SHARE_CS,IQ_CURRENT_RATIO_CS,IQ_DILUT_EPS_EXCL_CS,IQ_EARNING_CO_MARGIN_CS,IQ_EBITDA_1YR_ANN_GROWTH_CS,IQ_EBITDA_CS,IQ_EBITDA_MARGIN_CS,IQ_EPS_1YR_ANN_GROWTH_CS,IQ_EPS_NORM_CS,IQ_GP,IQ_LFCF_MARGIN_CS,IQ_NI_1YR_ANN_GROWTH_CS,IQ_NI_MARGIN_CS,IQ_NI_NORM_MARGIN_CS,IQ_QUICK_RATIO_CS,IQ_RETURN_ASSETS_CS,IQ_RETURN_CAPITAL_CS,IQ_RETURN_COMMON_EQUITY_CS,IQ_RETURN_EQUITY_CS,IQ_TOTAL_DEBT_CAPITAL_CS,IQ_TOTAL_DEBT_EBITDA_CS,IQ_TOTAL_DEBT_EQUITY_CS
MMM,5.72942,7.04634,17.2575,1.88551,8.16,16.79896,2.37787,8697.0,28.88505,7.65172,8.35,14991.0,16.37633,4.48997,16.77239,16.76989,1.13684,13.75831,20.23113,45.89657,45.79448,53.06743,1.34472,113.07164
AOS,3.45034,5.26595,8.73669,2.04023,1.85,12.15607,13.71997,525.5,19.56514,17.08861,1.87,1114.2,14.80556,15.41181,12.15607,12.16402,1.66314,10.39278,16.30219,22.07871,22.07871,17.59748,0.61579,21.35551
AIR,5.98253,7.0494,25.08475,2.6538,1.16,2.43594,63.56034,136.9,8.23409,39.71871,1.1,233.1,3.48325,367.64706,2.869,2.27595,0.83252,2.79412,4.10457,4.73435,4.73435,14.60696,1.08181,17.10557
ABM,7.09382,6.68794,17.5183,1.65838,1.09,1.21096,15.34426,175.9,3.41905,15.95745,1.84,541.3,1.55378,-25.03277,1.11182,2.01357,1.42123,3.33728,6.1415,6.28817,6.28817,21.59704,1.5253,27.5462
ACCO,5.87598,4.09602,6.56769,1.65034,0.87,6.1332,10.41376,237.5,15.25271,11.53846,1.02,514.9,6.17012,11.17579,6.1332,7.00918,1.06767,5.77105,8.56702,14.80735,14.80735,49.55513,2.93137,98.23621
ACM,-6.40283,3.71514,21.87705,1.13121,0.62,0.93891,-16.29227,840.018,4.82469,76.83709,1.26,642.824,5.32401,76.83709,0.55201,1.12007,0.99357,2.09941,3.65927,2.83731,4.55136,53.73025,4.91095,116.12394
AES,-12.41407,5.8573,4.23859,1.21605,0.0,2.65715,-9.13964,3390.0,24.95216,279.8896,0.14,2383.0,-2.77584,279.8896,-8.31739,0.68011,0.88999,3.83553,5.139,0.26922,5.47343,75.94359,6.03628,279.8896
AGCO,6.40535,8.58094,34.93488,1.47592,1.96,2.1618,-10.66045,574.9,7.75791,-35.94771,2.48,1515.5,2.10124,-39.9024,2.16045,2.72414,0.61546,2.74604,4.33914,5.70319,5.60091,37.40458,2.94904,59.7561
ALE,1.07261,10.99467,38.19613,0.73717,3.14,11.62947,-1.91847,409.0,30.52922,7.53425,2.96,456.3,0.38162,10.06379,11.59215,10.89259,0.38098,2.71565,3.87349,8.36475,8.38672,45.14792,3.80954,82.30851
AME,-1.81818,6.42359,14.19708,2.08579,2.19,13.33715,-7.91859,1007.169,26.22777,-10.61225,2.31,1292.488,16.64916,-13.31976,13.33715,13.99161,1.41662,7.64022,9.74255,15.73175,15.73175,41.82802,2.3249,71.90406
AMN,18.98006,5.28386,9.43844,1.6399,2.15,5.56391,45.57111,225.478,11.85338,27.97619,2.28,619.724,7.01511,29.24253,5.56391,5.74679,1.53741,11.84255,17.75621,26.551,26.551,44.67941,1.60966,80.76452
T,1.58481,9.82794,20.05785,0.75864,2.1,8.14164,4.84272,50162.0,30.63085,-11.39241,2.18,86596.0,8.95601,-2.76508,7.92365,8.21079,0.45134,3.76863,6.11035,10.55792,10.76327,49.87945,2.46228,99.51898
ATI,12.9403,7.35476,12.44159,2.49259,-5.97,-20.00574,20.322315,66.7,2.12786,20.322315,-1.08,234.1,-1.49182,20.322315,-20.44599,-3.69693,0.9619,-0.97512,-1.51839,-37.2833,-34.44374,56.50551,28.14093,129.91418
AXS,16.66821,0.86061,59.53536,12.1685,5.08,12.81608,23.39217,453.676,11.32588,-15.89404,5.13,1054.584,-4.4568,-19.99015,12.81608,11.62507,12.1685,1.38455,3.9991,9.8864,8.45798,13.66698,2.18868,15.83054
ABBV,0.0,1437.8798,2.91112,1.65494,3.63,23.21944,15.92251,11190.0,43.64615,15.97444,4.43,19845.0,22.53247,15.72706,23.21944,28.0266,1.14314,10.49212,16.21559,138.7484,138.7484,88.82299,3.2924,1437.8798
ABT,-4.97367,6.25653,13.94421,4.02042,0.71,5.1935,2.70438,4975.0,23.85748,-58.72093,1.81,11768.0,10.28929,-68.34728,6.71366,12.82007,3.30676,4.82095,6.19781,5.09234,5.15187,51.50856,4.42332,106.22194
ANF,0.0,107.77293,19.17003,2.20493,0.51,1.09584,-17.96349,298.311,8.47792,-28.16901,0.66,2157.543,6.61713,-31.3483,1.01106,1.29198,1.20711,2.13814,3.14564,2.65417,2.87173,20.47844,1.11855,25.75205
AAMI,7.83926,4.20602,1.43661,1.26052,1.0,18.08591,0.6536,200.2,30.17332,-21.875,1.2,292.4,14.50829,-18.71383,19.05049,21.56491,0.97475,10.19104,28.56016,72.87057,71.34364,69.97182,1.98452,240.78789
ACN,8.68014,5.82494,12.1726,1.34884,6.45,12.4997,7.64302,5539.497,15.91917,35.5042,5.39,10277.427,10.78296,34.65803,11.81658,9.67784,1.25363,15.46764,40.37881,60.07642,58.63205,0.3314,0.00492,0.3325
AYI,39.13044,6.68624,37.95043,1.96714,6.63,8.83542,29.92918,568.7,17.27889,30.2554,7.2,1439.0,6.79063,30.93201,8.83542,9.516,1.46617,11.76408,16.97229,19.25955,19.25955,17.62779,0.62458,21.40017
ADNT,-2.43674,7.98719,45.02674,1.33592,-16.4,-8.60605,2.43446,1094.0,6.4976,128.70103,9.34,1609.0,4.70838,128.70103,-9.10495,5.18673,1.07089,3.99446,6.79545,-31.17121,-28.48717,44.8923,3.25777,82.1009
AAP,5.88396,15.92653,39.54212,1.40715,6.2,4.8039,-8.55514,1124.427,11.75235,-3.125,6.82,4255.915,2.19785,-2.91003,4.8039,5.24362,0.21121,6.53835,14.08898,17.09636,17.09636,26.3485,0.92781,35.77457
WMS,12.10785,8.59902,3.44354,1.74302,0.39,2.36829,55.33246,191.862,14.86521,44.443394,0.74,285.352,9.45129,190.62645,1.941,3.09479,0.76705,7.39117,10.14324,13.2684,9.72182,57.62106,2.22689,139.14156
AER,42.50285,6.99589,48.36648,0.48435,5.52,21.27574,-3.98992,3966.353,81.17923,-3.4965,5.34,2669.165,-36.30712,-11.20698,21.42135,20.2755,0.47696,3.15813,3.62436,12.40567,12.2238,76.35692,6.98803,302.13535
AMG,-2.01943,5.66714,63.83774,1.48491,8.57,33.67356,-10.844,864.1,39.37392,-7.65086,8.72,1262.2,25.17087,-8.37209,21.54379,21.53577,1.48491,5.57113,6.83023,14.64525,15.58809,29.26099,2.44138,47.65842
AFL,77.33415,9.91096,25.23595,1.97751,3.21,11.88433,-2.73727,4335.0,19.37517,9.74359,3.34,7131.0,2.64537,4.97434,11.88433,12.28491,1.97751,2.15979,11.03509,13.92511,13.92511,20.74143,1.23645,26.16932
A,4.12541,6.79386,13.1175,3.84656,1.4,10.99476,12.1071,963.0,22.91766,6.87023,1.65,2197.0,15.07615,15.21197,10.99476,12.80105,3.08995,5.85695,7.46891,10.98692,10.97909,31.04904,1.98546,45.03062
APD,2.39653,6.69295,32.5722,1.31493,6.94,16.22884,9.2493,3066.3,32.19415,18.02721,7.61,2326.4,13.6397,-50.61429,6.62614,17.29037,0.98282,7.53802,10.02109,21.15071,21.18195,46.32328,2.0302,86.3005
ALK,0.0,203.22734,23.76589,0.80868,6.54,13.7245,10.84849,1829.0,30.83797,-0.30488,7.34,2464.0,16.4538,-4.00943,13.7245,15.29099,0.74241,11.10943,20.37923,30.47548,30.47548,50.2799,1.62056,101.1259
