,IQ_ACCT_RECV_1YR_ANN_GROWTH_CS,IQ_AR_TURNS_CS,IQ_BV_SHARE_CS,IQ_CURRENT_RATIO_CS,IQ_DILUT_EPS_EXCL_CS,IQ_EARNING_CO_MARGIN_CS,IQ_EBITDA_1YR_ANN_GROWTH_CS,IQ_EBITDA_CS,IQ_EBITDA_MARGIN_CS,IQ_EPS_1YR_ANN_GROWTH_CS,IQ_EPS_NORM_CS,IQ_GP,IQ_LFCF_MARGIN_CS,IQ_NI_1YR_ANN_GROWTH_CS,IQ_NI_MARGIN_CS,IQ_NI_NORM_MARGIN_CS,IQ_QUICK_RATIO_CS,IQ_RETURN_ASSETS_CS,IQ_RETURN_CAPITAL_CS,IQ_RETURN_COMMON_EQUITY_CS,IQ_RETURN_EQUITY_CS,IQ_TOTAL_DEBT_CAPITAL_CS,IQ_TOTAL_DEBT_EBITDA_CS,IQ_TOTAL_DEBT_EQUITY_CS
MMM,-2.74678,7.44756,26.80407,1.54237,10.18,16.9184,-6.08565,8750.0,25.56312,0.59289,10.54,10308.0,11.9157,-2.43202,16.8775,17.42861,0.8847,9.24733,13.29146,38.81349,38.75264,53.31268,1.92754,114.19093
AOS,-8.38588,6.17621,11.56047,1.74877,1.51,6.2788,5.9645,728.4,19.40382,-50.0,3.1,1329.6,5.3894,-51.61158,6.2788,12.78235,1.13787,11.96432,19.44823,13.16797,13.16797,17.73594,0.5173,21.55976
ATEN,18.01602,4.1617,2.4548,2.17332,0.6,16.73266,32.96227,55.779,19.89705,-49.57983,0.64,223.506,13.34688,-50.56436,16.73266,17.24273,1.89362,8.70501,15.2583,24.06155,24.06155,10.67752,0.38792,11.9539
AIR,20.53646,6.9065,29.2306,2.89259,2.16,4.32007,46.66012,149.3,8.21639,66.15385,2.35,313.2,1.94954,119.8324,4.33108,4.60404,1.00287,4.66502,6.09935,7.81522,7.81522,13.92795,1.12123,16.18173
ABM,13.8618,6.13702,26.18162,1.15371,3.41,2.95135,7.61636,534.1,6.84165,83.33333,4.29,1049.1,1.23581,82.4228,2.95135,3.68738,1.05491,5.6649,9.13039,13.85281,13.85281,45.1216,2.64351,82.22106
ACCO,-7.69046,4.86778,8.59422,1.49796,-0.14,-0.67776,-20.05238,213.7,10.97248,44.24347,0.9,552.3,3.11858,44.24347,-0.67776,4.40388,0.75773,2.85211,4.32857,-1.57621,-1.57621,57.43037,5.11418,134.90927
ACM,-6.65437,3.40996,17.82612,1.07747,2.73,3.15352,7.04293,866.565,6.59076,38.57868,3.21,847.974,4.82552,79.35214,2.36239,3.43671,0.92233,3.82906,7.66317,14.99714,15.25793,53.06959,3.39986,113.08144
AES,26.86883,7.84395,2.39105,1.17748,-0.82,-4.00254,-5.35416,3394.0,26.90021,286.98053,0.1,2548.0,-25.64001,286.98053,-4.3275,0.52944,0.70035,4.10264,5.29667,-30.57111,-8.67027,80.82936,7.2363,286.98053
AGCO,23.17701,11.43474,52.0422,1.40394,11.87,6.91386,21.68656,1580.1,12.48953,0.16878,12.48,3001.3,3.26002,-0.82497,7.03163,7.35893,0.49188,8.4745,15.37136,24.37828,23.87803,29.62607,1.03443,42.09808
ALE,8.89248,12.15712,47.03077,1.00251,3.38,8.35933,-1.01828,379.1,24.13574,4.64396,3.42,446.8,-15.80426,11.87943,12.05195,12.17152,0.24099,1.28853,1.67413,7.41626,4.17183,36.60444,5.09971,57.73975
