,IQ_ACCT_RECV_1YR_ANN_GROWTH_CS,IQ_AR_TURNS_CS,IQ_BV_SHARE_CS,IQ_CURRENT_RATIO_CS,IQ_DILUT_EPS_EXCL_CS,IQ_EARNING_CO_MARGIN_CS,IQ_EBITDA_1YR_ANN_GROWTH_CS,IQ_EBITDA_CS,IQ_EBITDA_MARGIN_CS,IQ_EPS_1YR_ANN_GROWTH_CS,IQ_EPS_NORM_CS,IQ_GP,IQ_LFCF_MARGIN_CS,IQ_NI_1YR_ANN_GROWTH_CS,IQ_NI_MARGIN_CS,IQ_NI_NORM_MARGIN_CS,IQ_QUICK_RATIO_CS,IQ_RETURN_ASSETS_CS,IQ_RETURN_CAPITAL_CS,IQ_RETURN_COMMON_EQUITY_CS,IQ_RETURN_EQUITY_CS,IQ_TOTAL_DEBT_CAPITAL_CS,IQ_TOTAL_DEBT_EBITDA_CS,IQ_TOTAL_DEBT_EQUITY_CS
CLX,5.16667,10.09586,4.44759,0.90625,6.32,13.19601,-0.30984,1287.0,20.7113,0.95847,6.42,2728.0,10.88268,-0.36452,13.19601,13.19685,0.51528,13.59817,21.41696,127.62646,127.62646,82.80529,2.09169,195.4567
KO,16.93168,10.11701,4.43481,0.75672,2.07,24.11045,9.92232,11887.0,31.89771,31.84713,2.03,22647.0,30.47248,38.63848,23.93603,23.29276,0.56152,7.76915,10.30473,49.60792,44.75047,67.66739,3.71456,209.28523
CDE,17.11677,127.33817,2.76159,1.10377,-1.59,-48.75545,-4.2113023,-153.966,-21.63957,-4.2113023,-1.58,141.9,-13.70476,-4.2113023,-47.95531,-48.59058,0.38977,-13.9435,-18.51765,-45.65875,-45.65875,34.36544,-4.2113023,52.35876
CNS,-5.84485,6.54892,4.52282,2.27198,2.79,35.77733,7.97207,164.53,40.0482,16.25,2.85,212.162,58.38102,18.19643,32.76806,32.79411,2.07989,23.97302,30.92336,61.70336,48.67399,13.96265,0.26347,20.28469
COHR,25.39622,5.62232,17.78643,3.00452,1.63,7.89118,17.17651,260.433,19.11441,20.74074,1.92,521.349,1.49489,22.17563,7.89118,8.96012,1.7538,5.65439,6.75351,9.96672,9.96672,30.24548,1.8867,43.35987
CL,2.85714,11.05141,0.13689,1.03492,2.75,16.10272,-1.8357,4278.0,27.26056,0.0,2.84,9336.0,14.95412,-1.375,15.08316,15.54734,0.58098,17.27799,30.11247,660.1996,660.1996,93.82812,1.98294,660.1996
CBAN,0.0,15.28967,13.73892,0.83056,1.12,13.57034,17.44617,30.435,40.44787,-20.0,1.35,60.746,38.28228,-14.31568,13.57034,16.38049,0.82178,1.25452,9.11715,9.02837,9.02837,39.816,2.83683,66.15711
CMA,0.0,253.08253,51.56373,0.95738,7.87,31.38591,-3.25472,2051.0,53.7333,9.30556,7.95,3275.0,72.27207,-2.99595,31.38591,31.24181,0.95708,1.67886,8.33534,16.15208,16.15208,51.2638,3.75768,105.1863
FIX,28.09522,4.33684,15.96661,1.29965,3.08,4.37139,8.03802,208.71,7.98042,2.66667,3.09,498.743,2.00912,1.2586,4.37139,4.35437,1.25944,7.65011,13.3338,21.10563,21.10563,34.83241,1.49896,53.45052
CMC,49.42187,6.2363,13.77029,2.99458,1.67,3.41017,45.85648,551.161,9.4555,46.49123,2.1,803.488,-0.55595,43.02124,3.3984,4.24521,1.88939,6.92264,8.88685,12.75345,12.75189,43.3872,2.25824,76.63851
CBU,0.0,52.118504,35.81948,0.76216,3.23,27.42989,3.31337,321.598,52.17816,-0.30864,3.4,581.364,44.88001,0.25024,27.42989,28.53735,0.76203,1.64285,8.28013,9.47393,9.47393,17.21475,1.19959,20.79447
CYH,-4.46749,5.38964,-18.82485,1.50175,-5.93,-4.46631,-4.90566,1512.0,11.44587,354.06076,-2.39,5112.0,1.2112,354.06076,-5.10977,-2.05781,1.14417,3.59095,4.5153,354.06076,354.06076,113.22948,9.27778,354.06076
CMP,9.88447,4.5581,15.62887,2.65292,1.81,4.19322,12.5964,306.6,20.57028,-10.39604,1.94,232.5,3.05854,-9.15698,4.19322,4.41,1.47144,4.38309,5.39102,11.68443,11.68443,73.60841,4.81768,278.9086
CRK,86.32963,5.54756,6.01568,0.73828,0.52,12.60445,94.09142,551.437,71.73734,76.89164,0.75,581.318,-9.17078,76.89164,12.60445,13.92793,0.52919,5.02032,5.88404,11.31489,9.26203,62.18301,4.54021,164.43143
