,IQ_ACCT_RECV_1YR_ANN_GROWTH_CS,IQ_AR_TURNS_CS,IQ_BV_SHARE_CS,IQ_CURRENT_RATIO_CS,IQ_DILUT_EPS_EXCL_CS,IQ_EARNING_CO_MARGIN_CS,IQ_EBITDA_1YR_ANN_GROWTH_CS,IQ_EBITDA_CS,IQ_EBITDA_MARGIN_CS,IQ_EPS_1YR_ANN_GROWTH_CS,IQ_EPS_NORM_CS,IQ_GP,IQ_LFCF_MARGIN_CS,IQ_NI_1YR_ANN_GROWTH_CS,IQ_NI_MARGIN_CS,IQ_NI_NORM_MARGIN_CS,IQ_QUICK_RATIO_CS,IQ_RETURN_ASSETS_CS,IQ_RETURN_CAPITAL_CS,IQ_RETURN_COMMON_EQUITY_CS,IQ_RETURN_EQUITY_CS,IQ_TOTAL_DEBT_CAPITAL_CS,IQ_TOTAL_DEBT_EBITDA_CS,IQ_TOTAL_DEBT_EQUITY_CS
MMM,4.81024,6.76406,8.69918,1.07073,-12.63,-22.23178,-26.04571,6471.0,20.61353,769.2003,9.86,9716.0,25.71913,769.2003,-22.28275,17.3976,0.70184,5.77627,10.50452,-71.63705,-71.07648,77.58954,2.60454,769.2003
AOS,2.54646,6.5457,12.53032,1.58712,3.69,14.44664,14.73092,835.7,21.69072,144.37086,3.83,1484.8,13.17159,136.14764,14.44664,14.90656,1.01492,14.46259,22.89213,30.99023,30.99023,8.29356,0.19959,9.04359
ATEN,1.89091,3.41902,2.79557,2.44734,0.53,15.88002,-7.21777,51.753,20.56138,-11.66667,0.63,203.738,11.16195,-14.79065,15.88002,18.57461,2.10326,7.76653,13.7924,20.55605,20.55605,7.48567,0.32501,8.09136
AIR,14.11683,6.46509,31.47841,3.12347,2.52,4.5112,20.09377,179.3,9.00733,16.66667,2.87,370.1,1.66784,14.61245,4.5313,5.00296,1.18578,5.55474,7.19254,8.4177,8.4177,23.10222,1.84161,30.04276
ABM,11.05205,5.66439,28.63939,1.40471,3.79,3.10385,-0.50552,531.4,6.56341,11.1437,3.89,1129.4,2.01262,9.07118,3.10385,3.17104,1.29214,5.23713,8.03932,14.29018,14.29018,44.7324,2.74144,80.93783
ACCO,12.13226,4.49877,8.29067,1.57823,-0.23,-1.18944,11.13711,237.5,12.95832,49.596424,0.75,598.3,8.31787,49.596424,-1.18944,3.89977,0.91716,3.70898,5.44358,-2.72995,-2.72995,56.35537,4.27874,129.12325
ACM,9.30386,3.69028,16.24195,1.05457,0.81,1.09433,11.10419,962.79,6.69606,-70.32967,3.64,945.465,4.616,-82.18608,0.38483,3.5091,0.91349,4.42442,9.14274,4.86613,6.30768,54.81275,3.00322,121.30137
AES,-21.06726,7.87077,2.46382,0.68328,0.34,-1.49195,-0.53035,3376.0,26.64983,284.07556,0.42,2504.0,-41.52688,284.07556,1.96558,2.21803,0.38496,3.38045,4.25238,14.89689,-2.84767,79.14906,8.37559,284.07556
AGCO,31.44191,10.19769,62.49094,1.4598,15.63,8.12703,27.98557,2022.3,14.03167,31.6765,15.54,3777.4,3.42934,31.67716,8.12772,8.06522,0.50668,10.06044,18.42696,27.43615,27.43284,25.30836,0.78025,33.88378
ALE,-4.23163,14.25711,48.81083,1.23967,4.3,9.51697,14.13875,432.7,23.01841,27.21894,3.51,489.9,8.80213,30.53355,13.14502,10.69917,0.54555,1.67475,2.15507,8.98301,5.2965,34.61841,4.16917,52.95603
