,IQ_ACCT_RECV_1YR_ANN_GROWTH_CS,IQ_AR_TURNS_CS,IQ_BV_SHARE_CS,IQ_CURRENT_RATIO_CS,IQ_DILUT_EPS_EXCL_CS,IQ_EARNING_CO_MARGIN_CS,IQ_EBITDA_1YR_ANN_GROWTH_CS,IQ_EBITDA_CS,IQ_EBITDA_MARGIN_CS,IQ_EPS_1YR_ANN_GROWTH_CS,IQ_EPS_NORM_CS,IQ_GP,IQ_LFCF_MARGIN_CS,IQ_NI_1YR_ANN_GROWTH_CS,IQ_NI_MARGIN_CS,IQ_NI_NORM_MARGIN_CS,IQ_QUICK_RATIO_CS,IQ_RETURN_ASSETS_CS,IQ_RETURN_CAPITAL_CS,IQ_RETURN_COMMON_EQUITY_CS,IQ_RETURN_EQUITY_CS,IQ_TOTAL_DEBT_CAPITAL_CS,IQ_TOTAL_DEBT_EBITDA_CS,IQ_TOTAL_DEBT_EQUITY_CS
ACM,82.35381,4.79959,22.52848,1.29157,-1.04,-0.39596,141.59613,1003.513,5.57821,90.274895,1.04,535.188,1.79865,90.274895,-0.86073,0.86487,1.15931,2.61458,4.5727,-5.53585,-2.41328,55.92382,4.59081,126.87993
AES,-8.7117,5.73755,4.72249,0.98791,0.44,5.12579,-10.39866,3731.0,25.09754,-59.63303,0.92,2663.0,-3.37431,-60.20806,2.05839,4.25158,0.67353,4.24218,5.76627,8.24687,10.79932,75.61782,5.57679,278.7799
AGCO,-13.17701,8.29424,33.86387,1.32621,3.06,3.53541,-33.88472,643.5,8.61757,-29.81651,3.24,1560.6,9.5344,-35.08772,3.56756,3.77486,0.57816,3.44854,5.50413,8.4749,8.2756,29.9881,1.91919,42.83287
AME,3.04597,6.68647,13.81919,1.57985,2.45,14.86701,5.45822,1093.781,27.52138,3.37553,2.56,1392.108,14.80004,1.09486,14.86701,15.45329,0.96013,9.02069,11.62919,18.19655,18.19655,37.37185,1.7756,59.6726
T,13.80189,9.45304,19.96293,0.75272,2.37,9.32351,50.98299,47845.0,32.59174,99.15966,2.68,79755.0,10.30851,114.41195,9.09054,10.27448,0.45483,4.64216,7.70956,12.76783,13.00032,50.50262,2.63666,102.0309
ATI,-33.68125,7.4103,19.07763,2.72047,-3.53,-9.83708,4.67473,-8.9,-0.23927,4.67473,-1.77,60.3,3.07123,4.67473,-10.1597,-5.10595,0.80131,-1.80898,-2.80996,-16.14543,-14.88034,40.50972,4.67473,68.47189
AXS,15.03266,0.95882,54.53583,16.04998,6.04,16.6644,-54.19641,367.67,9.5491,-17.14678,3.74,955.998,-8.88197,-20.85909,16.6644,9.57839,16.04998,1.14296,3.32476,12.30083,10.92433,14.46082,2.6976,16.90549
ABBV,0.0,1333.495,2.45047,1.49752,3.13,22.50317,43.00741,9653.0,42.22844,184.54546,3.88,18620.0,30.6586,189.96619,22.50317,27.58213,1.20589,13.67452,21.04537,180.90382,180.90382,88.92352,3.28095,1333.495
ABT,-4.68489,5.82667,14.40314,1.54093,1.72,12.85469,8.24581,4844.0,23.73928,53.57143,1.83,11676.0,26.37221,93.65149,21.67606,13.41671,1.03886,5.10773,7.0472,12.19552,12.20994,29.67982,1.85818,42.2067
ANF,0.0,120.54671,20.03837,2.37053,0.71,1.3841,-6.35957,363.632,9.71232,2.89855,0.93,2313.57,4.41883,-5.13839,1.3841,1.78311,1.17694,3.19652,4.68764,3.32272,3.32272,19.83885,0.94583,24.74871
ACN,1.09635,5.78016,9.78723,1.35714,4.76,9.94637,9.85209,5146.174,15.63501,5.30974,4.93,9809.239,9.80061,3.81041,9.27733,9.38836,1.18242,15.54104,43.31471,51.46928,50.62727,0.41101,0.00533,0.41271
AYI,10.2571,6.89517,31.40515,2.75773,5.09,8.20556,30.07429,437.7,16.17098,25.67901,5.42,1145.6,8.75466,26.33675,8.20556,8.63051,2.24323,10.65478,15.16876,17.60254,17.60254,20.5793,0.80512,25.91177
AAP,2.87776,16.92194,33.56314,1.30106,6.4,4.86184,0.33783,1229.623,12.62833,-4.61997,7.52,4422.772,4.79153,-4.13649,4.86184,5.65254,0.18132,7.39923,16.28403,21.21168,21.21168,33.03279,0.9871,49.3268
AMG,-8.14745,6.08126,52.7342,1.80377,9.28,33.55605,1.56135,969.2,39.00986,15.85518,8.99,1456.8,22.44164,14.13404,20.76877,19.6481,1.80377,6.74131,8.37681,18.88692,19.23117,30.18928,1.95501,50.27195
AFL,-3.09524,12.63845,20.86338,1.2842,2.925,12.1173,-8.19773,4457.0,21.32128,-10.0,3.125,6803.0,7.37419,-14.16469,12.1173,12.87595,1.2842,2.31714,11.90181,14.05076,14.05076,22.05643,1.1243,28.29794
A,-38.35198,5.08244,12.55121,3.77664,1.31,10.84695,-43.44964,859.0,21.27291,-12.08054,1.48,2041.0,21.09646,-20.43651,9.93066,12.20505,2.92111,4.13026,5.44535,9.25515,9.24929,28.41202,1.92666,39.68825
APD,-5.37012,6.84247,33.66008,0.7979,5.88,13.31595,9.61103,2806.7,28.36512,28.10458,6.64,2226.1,7.51764,28.85953,12.91473,14.42092,0.5115,6.63845,8.59918,17.48775,17.3486,44.33602,2.09463,79.64938
ALB,43.51266,7.78503,29.00037,1.13257,3.0,9.86116,111.86125,913.069,25.00644,16.73152,4.19,916.133,3.39131,151.21216,9.17215,12.75842,0.53825,5.51847,7.01293,14.5174,14.7267,53.10689,4.21876,113.25094
ALEX,18.72038,12.36186,25.0225,0.82566,0.54,5.45136,-3.1746,115.9,20.31551,-1.81818,0.84,182.4,7.64461,-51.79153,5.18843,7.2,0.35409,1.68365,2.05459,2.43872,2.53515,32.19662,5.07507,47.93415
ARE,18.95722,3.15506,49.73086,0.89305,1.63,17.29413,0.0,0.0,0.0,64.64647,1.64,583.893,50.17986,41.9822,17.06458,13.8805,0.86017,1.75787,1.89089,4.08137,3.56327,48.01345,44.251225,92.66426
ALLE,16.73721,7.3428,0.26669,1.64415,1.59,7.4803,1.09265,444.1,21.47382,-17.1875,3.04,886.9,14.27337,-12.15753,7.44161,14.0968,1.12525,11.5026,17.30985,72.841255,72.841255,98.11441,3.47985,72.841255
ALL,0.99132,1.6673,52.55906,16.94547,5.05,6.14562,-20.83054,3546.0,10.03793,-19.45774,5.3,7691.0,6.06175,-23.82456,6.14562,6.01775,16.94547,1.92494,7.79247,10.25774,10.25774,20.3904,1.44642,25.61298
ALLY,11.64127,0.09376,26.43886,1.3787,-3.47,9.11215,-2.0979,5740.0,58.30963,577.4151,-2.99,6760.0,-21.49279,12.08696,13.09427,-14.6667,1.37749,1.37279,2.41031,6.67237,6.22096,84.68909,12.95035,577.4151
MO,0.0,152.04839,1.46934,0.85985,2.67,27.80842,9.74831,8590.0,45.56062,4.29688,2.74,11017.0,26.57858,3.37278,27.79782,28.49867,0.35222,15.60401,31.15039,177.84187,176.08733,81.61602,1.50396,888.0263
AMBC,-6.56146,0.04874,37.41005,28.36168,10.72,77.41831,53.90055,1305.623,205.15599,3.97672,22.31,1456.511,243.43248,1.92782,77.52972,158.3633,28.36168,2.89656,4.53888,31.9986,27.13012,87.37497,10.38069,168.2091
AMCR,-2.53964,7.95254,4.97868,0.92886,2.22,7.36491,-6.14185,1262.7,13.13698,-1.76991,2.35,1932.2,1.58443,27.77099,7.07776,7.35063,0.56896,6.41298,10.46526,38.89755,37.97781,69.31733,2.83939,225.91682
AEE,-8.86628,9.27453,28.63149,0.91591,2.38,9.59331,6.25313,2124.0,34.83109,-0.83333,2.57,2597.0,-0.78509,7.50853,10.33126,10.22437,0.48591,3.58408,5.83009,8.47793,8.39131,51.66394,3.56686,106.88488
AEO,0.6096,63.33852,5.8594,1.93972,0.46,2.70456,18.80052,309.511,9.42807,6.97674,0.52,1441.047,2.44576,-3.20668,2.4467,3.07985,1.04247,6.3961,9.40605,7.70077,7.70077,0.0,0.0,0.0
AXP,-10.49873,0.31749,21.33437,1.77688,5.05,14.99085,0.3609,10011.0,29.0671,-9.17266,5.32,22733.0,37.97799,-12.26848,14.99085,15.43126,1.58198,3.49999,7.20187,24.97461,24.97461,71.89106,5.28149,255.75871
AFG,-11.53143,1.18646,52.4956,10.26933,3.94,6.04773,-9.89144,747.0,12.20987,-20.72435,4.04,1204.0,20.79928,-22.12389,5.75351,5.78464,10.26933,0.78932,5.85491,7.43322,7.53257,27.45247,2.41633,37.84067
AIG,0.0,1319.0974,75.09567,1319.0974,1.65,3.84316,-36.38437,9765.0,16.8895,-68.51145,2.18,17927.0,8.723,-70.83278,3.79819,4.90101,1319.0974,0.63406,2.4879,2.23448,2.25033,24.54834,3.00563,32.5352
AMT,16.71874,19.65233,15.692,0.83037,1.41,14.08372,15.99815,2935.013,61.51112,-29.5,1.82,3462.7,28.56765,-16.95167,14.35758,15.97838,0.62886,4.27505,4.85271,12.9197,12.48368,71.83255,5.83269,255.01971
AWK,0.0,159.01889,28.3203,0.42857,2.64,15.06806,5.3466,1515.0,47.95822,10.46025,2.66,1769.0,-2.53568,12.50083,15.06806,15.07249,0.38356,4.3102,5.97756,9.55383,9.55383,56.49289,4.32739,129.8475
AMP,1.98426,1.30198,42.19654,1.60071,8.48,13.83581,-11.40896,2710.0,22.22587,2.04573,8.59,6302.0,20.32006,-3.52069,12.81063,12.80081,1.60071,1.07385,8.25062,20.36373,19.05138,55.41351,3.85461,124.28317
AU,-47.69231,83.67677,5.99608,1.90948,0.08,1.11058,-21.71095,1208.0,29.16466,99.128395,0.21,732.0,10.94278,99.128395,-2.05215,2.07671,0.94342,3.12157,4.34469,1.17536,1.72349,52.59416,2.26573,110.94447
NLY,-88.08178,3.91831,46.93905,0.05033,1.68,20.81467,0.0,0.0,0.0,52.947968,1.72,913.461,24.86376,52.947968,20.85083,18.19979,0.04548,1.55717,1.60365,3.98794,3.69059,83.65856,52.947968,52.947968
AR,-32.53011,15.34654,21.42101,1.76487,3.43,24.77955,50.76435,2644.556,66.86855,33.98438,3.52,500.598,-27.92008,39.75389,23.80273,24.39817,0.32678,8.8851,10.47117,18.2467,15.35983,39.25334,1.78046,64.6181
AON,-2.87744,4.21049,22.63158,1.06771,4.88,12.17257,-1.079,2567.0,21.97398,4.72103,5.38,3875.0,15.43721,-0.85898,11.85585,12.9319,0.27266,4.44359,10.49227,21.8506,22.22917,48.21008,2.23491,93.08778
AIV,0.0,18.634727,11.95157,0.13053,1.94078,27.52143,0.0,0.0,0.0,-26.21359,1.94078,0.0,34.35404,-19.57613,25.16648,23.86713,0.13053,2.68727,2.88806,19.85809,16.08476,67.65356,18.634727,219.57872
ATR,-3.78524,5.80341,18.38558,3.14395,3.09,8.60087,-1.23717,457.503,19.74422,8.42105,3.09,807.099,9.87178,4.01236,8.60316,8.34593,2.2243,8.16795,10.17537,17.69766,17.68664,41.61564,1.79124,71.27874
APTV,4.64231,5.63964,8.08747,1.30405,4.14,8.3152,-4.68085,2464.0,16.24794,-7.58929,5.24,2180.0,5.24975,7.32791,9.56149,9.85459,0.90476,10.58585,19.70504,49.91597,43.8914,59.45705,1.62662,146.65202
ARMK,-8.71172,9.46753,7.85004,1.09085,0.96,1.65381,-1.41031,1053.283,7.35064,52.38095,1.18,1478.011,1.4299,58.3998,1.64662,1.95676,0.75163,4.19301,6.03804,13.10303,13.08763,73.65502,5.02592,281.0785
