,IQ_ACCT_RECV_1YR_ANN_GROWTH_CS,IQ_AR_TURNS_CS,IQ_BV_SHARE_CS,IQ_CURRENT_RATIO_CS,IQ_DILUT_EPS_EXCL_CS,IQ_EARNING_CO_MARGIN_CS,IQ_EBITDA_1YR_ANN_GROWTH_CS,IQ_EBITDA_CS,IQ_EBITDA_MARGIN_CS,IQ_EPS_1YR_ANN_GROWTH_CS,IQ_EPS_NORM_CS,IQ_GP,IQ_LFCF_MARGIN_CS,IQ_NI_1YR_ANN_GROWTH_CS,IQ_NI_MARGIN_CS,IQ_NI_NORM_MARGIN_CS,IQ_QUICK_RATIO_CS,IQ_RETURN_ASSETS_CS,IQ_RETURN_CAPITAL_CS,IQ_RETURN_COMMON_EQUITY_CS,IQ_RETURN_EQUITY_CS,IQ_TOTAL_DEBT_CAPITAL_CS,IQ_TOTAL_DEBT_EBITDA_CS,IQ_TOTAL_DEBT_EQUITY_CS
MMM,11.81694,6.80576,19.4374,1.85729,7.93,15.38049,0.0,8877.0,28.04119,-2.81863,9.67,15688.0,13.95071,-3.80198,15.34574,18.25134,1.17601,12.9297,19.22895,44.44444,44.33417,54.65647,1.57812,120.53863
AOS,15.36534,5.36514,9.60487,2.24071,1.7,9.89422,12.3882,590.6,19.70835,-8.10811,2.19,1232.4,6.25897,-9.18836,9.89422,12.6185,1.79886,10.68648,16.69082,18.74151,18.74151,19.93007,0.69489,24.89083
AIR,3.58467,7.15483,26.61117,2.65145,1.45,2.84001,8.2542,148.2,8.38425,25.0,1.42,263.4,4.1306,18.44864,3.19643,2.72335,0.78096,3.27541,4.62741,5.64045,5.64045,14.68036,1.0614,17.2063
ABM,30.48014,5.94819,21.00209,1.63038,1.34,1.43208,-2.67197,171.2,3.13921,22.93578,1.79,572.4,-0.29178,-93.35664,0.06968,1.89385,1.45276,2.07383,3.32899,6.64766,6.64766,46.13337,6.88201,85.64367
ACCO,20.02558,4.53051,7.25601,1.54086,1.19,6.75801,27.03158,301.7,15.48132,36.78161,1.19,657.3,10.81755,37.90576,6.75801,6.60093,1.01449,5.92411,9.2603,17.76369,17.76369,54.63815,3.09049,120.44955
ACM,13.15874,3.76913,25.36756,1.19788,2.13,2.31537,-7.71495,775.211,4.25861,243.54839,1.51,683.72,2.08932,253.1303,1.86443,1.29179,1.07298,2.29082,4.09405,9.21874,10.85275,47.70079,4.95879,91.20748
AES,-32.45614,5.80325,3.73265,1.06138,-0.77,-1.40551,-2.0944,3319.0,31.51947,279.21902,0.34,2487.0,-11.46368,279.21902,-11.02564,2.13105,0.54031,4.11665,5.41856,-19.28123,-2.43341,77.84968,6.01687,279.21902
AGCO,14.48787,8.69882,38.08231,1.36863,2.32,2.27894,21.60376,699.1,8.4163,18.36735,3.04,1765.3,3.7886,16.42723,2.24403,2.90953,0.52332,3.46183,5.61078,6.42128,6.3818,35.63259,2.45101,55.35812
ALE,10.28571,11.01941,40.46012,1.04641,3.38,12.13274,-0.5868,406.6,28.64793,7.64331,3.14,459.6,10.6822,10.88216,12.13274,11.23878,0.67369,2.86765,4.07791,8.69434,8.69434,42.09156,3.69725,72.68639
AME,12.80545,6.82295,17.42101,1.69906,2.94,15.84751,11.46163,1122.607,26.10611,34.24658,2.64,1438.8,17.82419,33.05855,15.84751,14.13443,1.1544,7.88243,9.95106,18.71105,18.71105,35.05831,1.93682,53.98429
AMN,0.07617,5.0809,11.84741,1.78742,2.68,6.66639,9.18005,246.177,12.38032,24.65116,2.5,644.419,6.5448,25.24613,6.66639,6.01057,1.68906,10.95413,15.77703,26.19956,26.19956,36.24817,1.29924,56.85825
T,-1.61963,9.65236,22.94368,0.97244,4.76,18.56284,-1.59683,49361.0,30.69924,126.66667,2.3,82736.0,13.10654,126.95746,18.31593,8.81727,0.84535,3.68167,5.63517,22.31094,22.43149,53.64596,3.32947,115.73092
ATI,20.61491,7.06858,13.82045,2.68832,-0.83,-2.26093,409.5952,339.9,9.64228,64.77359,0.51,497.0,-1.44819,64.77359,-2.60702,1.59289,0.96394,2.35022,3.62867,-5.93938,-4.84602,45.51282,4.5328,83.52941
AXS,33.42459,0.78229,54.90872,8.7043,-4.94,-8.06216,18.905539,-111.518,-2.43673,18.905539,-4.24,415.084,-26.80705,18.905539,-8.06216,-7.79229,8.7043,-0.45774,-1.49186,-7.59777,-6.35407,20.49079,18.905539,25.7716
AZZ,5.36769,6.36513,20.39898,2.0905,2.33,7.09266,-8.14044,156.717,18.24561,-21.28378,2.52,211.934,6.66393,-20.66545,7.09266,7.61783,1.05585,6.77898,8.26153,12.05336,12.05336,33.88339,1.73197,51.24793
ABBV,0.0,1555.1547,3.20137,1.27534,3.3,18.81557,9.15996,12215.0,43.29104,-9.09091,5.03,21528.0,22.97101,-10.81808,18.81557,28.45152,1.02019,9.78376,15.95428,109.09278,109.09278,87.99717,3.05919,1555.1547
ABT,61.60714,6.44698,17.72021,2.26066,0.2,1.38007,41.04523,7017.0,25.61884,-71.83099,1.44,15900.0,16.62879,-65.92857,1.74151,9.14786,1.6673,3.87462,4.90933,1.37261,1.45904,47.31117,3.97948,89.79356
ANF,0.0,89.70268,18.35112,2.34424,0.06,0.232,-40.19999,178.39,5.36231,-88.23529,-0.12,2028.568,0.0365,-88.88014,0.11892,-0.24485,1.31805,-0.45001,-0.66691,0.31217,0.60587,19.81449,1.73434,24.71081
AAMI,27.24496,4.77097,0.6872,1.5374,0.04,1.03674,-14.73527,170.7,19.23597,-96.0,1.34,282.1,8.8841,-96.67722,0.47329,16.71738,1.26352,6.83776,16.23626,3.59231,5.38327,71.70933,2.54364,18.909636
ACN,10.65277,5.60977,14.53874,1.23137,5.44,9.88681,2.07851,5654.636,15.38029,-15.65892,6.06,11071.492,9.59907,-16.21499,9.37061,10.22108,1.12122,14.84565,35.80686,41.74768,40.61473,0.25752,0.00443,0.25818
AYI,0.08729,6.11657,39.77837,2.07289,7.43,9.17806,6.61157,606.3,17.29765,12.06637,7.55,1482.7,7.23803,10.62586,9.17806,9.28376,1.47179,11.36577,16.4613,19.34805,19.34805,17.64648,0.58865,21.42771
ADNT,6.82037,7.53042,45.94061,1.03951,9.35,5.93351,3.83912,1136.0,7.00672,130.44487,8.85,1452.0,0.606,130.44487,5.40924,5.09968,0.78397,3.71141,6.0641,20.66203,21.38966,42.94888,3.06162,75.74042
AAP,-4.1516,15.4918,46.19125,1.55941,6.42,5.07271,-19.15491,909.044,9.69773,3.54839,5.13,4085.049,4.56808,3.45567,5.07271,4.04138,0.3314,4.87238,9.72086,15.02056,15.02056,23.42392,1.1492,30.58908
WMS,1.25485,7.87464,4.02441,1.72262,0.5,2.85605,-5.98868,180.372,14.34642,28.20513,0.87,295.81,6.88502,31.52643,2.62078,3.80029,0.68579,6.57487,9.02202,16.06694,10.80474,55.02821,2.3773,125.30332
AER,30.30696,5.00138,56.07947,0.56553,6.43,22.85384,-2.94676,3849.474,81.43195,16.48551,6.9,2772.445,-73.90975,2.82058,22.76495,23.50879,0.55925,3.15843,3.60197,12.5835,12.54687,76.68937,7.38302,301.59714
AMG,13.17506,5.6419,69.36842,1.36841,12.03,43.76139,10.27659,952.9,41.34056,40.3734,8.92,1326.0,26.75054,45.83333,29.91323,21.67115,1.36841,6.06119,7.31769,18.53046,19.23092,25.59937,1.94637,40.5089
AFL,71.35435,5.53995,31.49915,2.02258,5.77,21.21659,1.40715,4396.0,20.25807,79.75078,3.415,7038.0,8.96889,73.1478,21.21659,12.46462,2.02258,2.03437,9.74807,20.42591,20.42591,17.69666,1.20314,21.50175
A,14.73851,6.60074,15.00427,3.30087,2.1,15.29517,13.70717,1095.0,24.48569,50.0,2.21,2399.0,12.55031,48.05195,15.29517,15.91279,2.69359,6.78611,8.46855,15.07604,15.06442,29.37482,1.83653,41.59255
APD,-18.46656,6.26466,46.19366,2.36107,5.16,14.10914,-17.60102,2526.6,30.85886,-25.64842,6.33,2436.1,16.92865,375.42386,36.64566,16.85402,2.06223,5.68417,7.52531,13.21698,13.279,28.00902,1.56843,38.90629
