,IQ_ACCT_RECV_1YR_ANN_GROWTH_CS,IQ_AR_TURNS_CS,IQ_BV_SHARE_CS,IQ_CURRENT_RATIO_CS,IQ_DILUT_EPS_EXCL_CS,IQ_EARNING_CO_MARGIN_CS,IQ_EBITDA_1YR_ANN_GROWTH_CS,IQ_EBITDA_CS,IQ_EBITDA_MARGIN_CS,IQ_EPS_1YR_ANN_GROWTH_CS,IQ_EPS_NORM_CS,IQ_GP,IQ_LFCF_MARGIN_CS,IQ_NI_1YR_ANN_GROWTH_CS,IQ_NI_MARGIN_CS,IQ_NI_NORM_MARGIN_CS,IQ_QUICK_RATIO_CS,IQ_RETURN_ASSETS_CS,IQ_RETURN_CAPITAL_CS,IQ_RETURN_COMMON_EQUITY_CS,IQ_RETURN_EQUITY_CS,IQ_TOTAL_DEBT_CAPITAL_CS,IQ_TOTAL_DEBT_EBITDA_CS,IQ_TOTAL_DEBT_EQUITY_CS
MMM,-1.79503,6.77843,22.27088,1.885,9.25,16.74124,3.14052,8933.0,27.75603,18.4379,9.11,15685.0,17.21702,17.81182,16.72881,16.34954,1.22584,9.54045,13.68683,46.96031,46.73635,60.46291,2.2137,152.92706
AOS,-0.76336,4.93027,11.42548,1.82557,2.12,11.91241,-2.85241,527.9,18.233,-4.50451,2.21,1108.2,15.63137,-6.78378,11.91241,12.32976,1.43811,9.00309,13.9672,19.62391,19.62391,7.90732,0.30063,8.58627
AIR,-13.92996,8.73819,25.7173,3.75542,0.71,1.187,-2.21498,150.1,7.18422,-70.41667,2.16,269.2,-0.12504,-41.33333,0.2106,3.59776,1.7066,3.69835,5.04782,2.7426,2.7426,43.13256,4.56096,75.84755
ABM,-16.52238,6.01104,22.47708,1.46104,0.0,0.00334,16.0216,386.7,6.45835,55.597267,2.81,830.6,6.49947,-99.76452,0.00501,3.13964,1.31786,4.85809,7.66384,0.01315,0.01315,37.26532,2.30463,59.40145
ACCO,-21.53405,4.08843,7.82259,1.3076,0.65,3.74577,-32.62336,189.8,11.46689,-38.67925,0.7,492.4,7.54592,-41.94757,3.74577,4.01341,0.70497,2.55041,4.05809,8.17726,8.17726,62.35491,6.48156,165.63889
ACM,-23.80509,2.60119,20.9657,1.23642,1.06,1.41126,-25.16832,685.325,5.17618,70.06246,1.89,709.56,4.35859,70.06246,-1.40763,2.26979,1.00916,2.26609,4.54501,4.88182,5.11015,46.57356,4.34202,87.17324
AES,-12.10277,6.95214,3.9587,1.0097,0.06,1.54244,12.94488,3586.0,37.12215,-86.66667,0.31,2693.0,4.34136,-84.81848,0.47619,2.13406,0.58915,4.62997,6.0356,1.52753,2.54505,78.31213,5.63079,272.41452
AGCO,6.93317,11.04703,39.75348,1.29904,5.65,4.58813,13.11903,911.4,9.96098,246.62576,5.65,2057.5,8.12445,241.13419,4.66791,4.6313,0.58734,4.91426,8.61614,14.64226,14.17046,37.34169,1.97345,59.59576
ALE,16.07884,11.22516,44.05491,0.55461,3.36,13.8226,-3.43112,368.7,31.53708,-6.40669,3.36,424.8,-41.33842,-6.14224,14.90035,14.91609,0.3416,1.63066,2.19393,7.6969,6.29308,39.38305,4.93436,64.97036
AME,-18.50773,6.11764,25.80848,2.34449,3.77,19.2166,-5.97518,1327.087,29.2308,0.53333,3.47,1543.514,25.88368,1.29363,19.2166,17.536,1.74667,6.63183,8.06792,15.76958,15.76958,30.30445,1.94927,43.48118
