,IQ_ACCT_RECV_1YR_ANN_GROWTH_CS,IQ_AR_TURNS_CS,IQ_BV_SHARE_CS,IQ_CURRENT_RATIO_CS,IQ_DILUT_EPS_EXCL_CS,IQ_EARNING_CO_MARGIN_CS,IQ_EBITDA_1YR_ANN_GROWTH_CS,IQ_EBITDA_CS,IQ_EBITDA_MARGIN_CS,IQ_EPS_1YR_ANN_GROWTH_CS,IQ_EPS_NORM_CS,IQ_GP,IQ_LFCF_MARGIN_CS,IQ_NI_1YR_ANN_GROWTH_CS,IQ_NI_MARGIN_CS,IQ_NI_NORM_MARGIN_CS,IQ_QUICK_RATIO_CS,IQ_RETURN_ASSETS_CS,IQ_RETURN_CAPITAL_CS,IQ_RETURN_COMMON_EQUITY_CS,IQ_RETURN_EQUITY_CS,IQ_TOTAL_DEBT_CAPITAL_CS,IQ_TOTAL_DEBT_EBITDA_CS,IQ_TOTAL_DEBT_EQUITY_CS
MMM,2.21951,6.59853,16.98998,1.89246,8.89,16.36808,3.3232,9172.0,27.99329,12.10593,10.87,16110.0,14.24615,10.10704,16.32535,19.52387,1.13929,12.89487,19.14262,50.08662,49.95808,59.87778,1.60238,149.23842
AOS,8.17179,5.11825,10.21058,2.08646,2.58,13.93394,5.58754,623.6,19.56147,51.76471,2.63,1305.5,9.21335,49.8145,13.93394,14.0735,1.64561,11.00091,17.25098,26.39491,26.39491,11.42179,0.35504,12.89458
AIR,-19.64996,7.71195,26.97027,2.82838,2.11,4.21552,-14.64238,126.5,7.2356,45.51724,1.73,294.1,3.42333,-72.38938,0.8923,3.3842,0.73387,3.54926,4.91991,7.96542,7.96542,15.91379,1.40079,18.92556
ABM,-2.31192,6.27834,22.03806,1.4776,1.45,1.48862,77.16122,303.3,4.70802,8.20896,1.82,694.8,3.40625,2473.6843,1.51812,1.86741,1.32896,3.2056,4.82062,6.77667,6.77667,39.22961,3.09595,64.55383
ACCO,-8.71511,4.32483,7.68572,1.46896,1.0,5.4966,-9.14816,274.1,14.12013,-15.96639,1.11,627.8,7.87528,-18.98254,5.4966,5.99258,0.82677,4.55197,7.52508,13.64625,13.64625,52.77479,3.21963,111.7513
ACM,6.65162,3.80416,26.07149,1.16276,0.84,0.97803,2.78002,796.762,3.95307,-60.56338,1.58,479.033,3.02521,-59.79021,0.67708,1.2472,1.05754,2.32805,4.2405,3.3742,4.64207,45.87879,4.55192,84.77045
AES,9.02256,7.02158,4.84374,1.14003,1.48,12.5652,2.10907,3389.0,31.56669,295.553,1.86,2574.0,0.73002,295.553,11.20529,11.46908,0.81996,4.53659,5.78886,34.7259,22.17838,74.85553,5.6949,295.553
AGCO,-13.64528,9.84577,38.32003,1.27856,3.58,3.03358,13.13117,790.9,8.45702,54.31035,3.94,1996.7,5.3399,53.16524,3.05282,3.31985,0.43604,4.01491,6.76165,9.57652,9.31875,32.77566,1.84537,48.75564
ALE,6.88379,10.72344,41.85288,0.82523,3.38,11.61751,-0.4427,404.8,27.01188,0.0,3.39,462.7,3.06703,1.10337,11.61751,11.60463,0.53024,2.43045,3.45196,8.24337,8.24337,40.804,3.67095,68.93033
AME,18.3977,6.64145,18.67775,1.45876,3.34,16.05352,13.57759,1275.03,26.31167,13.60544,3.32,1659.562,13.22655,14.15514,16.05352,15.81413,0.90973,8.16865,10.28119,18.81439,18.81439,38.29604,2.06482,62.06415
