,IQ_ACCT_RECV_1YR_ANN_GROWTH_CS,IQ_AR_TURNS_CS,IQ_BV_SHARE_CS,IQ_CURRENT_RATIO_CS,IQ_DILUT_EPS_EXCL_CS,IQ_EARNING_CO_MARGIN_CS,IQ_EBITDA_1YR_ANN_GROWTH_CS,IQ_EBITDA_CS,IQ_EBITDA_MARGIN_CS,IQ_EPS_1YR_ANN_GROWTH_CS,IQ_EPS_NORM_CS,IQ_GP,IQ_LFCF_MARGIN_CS,IQ_NI_1YR_ANN_GROWTH_CS,IQ_NI_MARGIN_CS,IQ_NI_NORM_MARGIN_CS,IQ_QUICK_RATIO_CS,IQ_RETURN_ASSETS_CS,IQ_RETURN_CAPITAL_CS,IQ_RETURN_COMMON_EQUITY_CS,IQ_RETURN_EQUITY_CS,IQ_TOTAL_DEBT_CAPITAL_CS,IQ_TOTAL_DEBT_EBITDA_CS,IQ_TOTAL_DEBT_EQUITY_CS
MMM,-0.95643,7.55045,26.31133,1.70482,10.12,16.76991,4.29867,9317.0,26.35271,9.40541,10.29,16560.0,13.61653,9.974,16.74728,16.85168,1.04317,9.79972,13.98927,42.42468,42.27752,54.78555,1.96598,121.16822
AOS,8.44444,5.80433,11.62173,1.5665,3.02,13.76416,30.21406,687.4,19.42412,42.45283,3.05,1310.9,12.2086,41.22934,13.76416,13.78158,1.13139,11.4825,18.71975,26.46923,26.46923,11.18329,0.33561,12.59142
ATEN,21.04562,4.43156,2.69801,2.44665,1.19,37.94843,73.65262,41.951,16.77758,440.9091,0.45,196.537,14.78387,432.5943,37.94843,13.86595,2.12635,7.02793,12.75175,58.41681,58.41681,10.03458,0.55539,11.15382
AIR,7.86618,7.18312,27.54488,2.78207,1.3,2.80368,0.0,101.8,6.16447,83.09859,0.89,228.4,9.99834,713.63635,2.16786,1.88628,0.88717,2.26255,2.9593,4.9334,4.9334,17.38872,2.01474,21.04885
ABM,31.24448,5.94332,23.91014,1.08967,1.86,2.02774,28.34238,496.3,7.96808,0.0,4.26,970.4,6.8061,42000.0,2.02774,4.60977,0.97402,6.18524,10.08797,8.12349,8.12349,39.14227,2.08543,64.31767
ACCO,16.88202,5.24621,9.02544,1.30525,1.05,5.03135,40.83246,267.3,13.19805,61.53846,1.42,614.9,7.81921,64.35484,5.03135,6.6958,0.64536,3.69707,5.74946,12.67807,12.67807,56.21931,4.15451,128.4112
ACM,-9.39866,3.17988,18.94593,1.11805,1.97,2.3971,18.12629,809.549,6.0682,85.84906,2.81,798.421,5.23598,84.47119,1.29816,3.10216,0.95895,3.25148,6.55582,9.81458,10.24465,51.85759,3.76498,107.71706
AES,9.07692,8.19794,2.95894,1.13187,-0.62,-8.57194,0.0,3586.0,32.18742,303.8938,-0.92,2711.0,-8.3655,303.8938,-3.67113,-5.49969,0.6511,4.70836,6.28135,-17.92924,-16.7309,76.57469,5.30898,303.8938
AGCO,15.82944,12.0577,45.88735,1.45143,11.85,8.0937,42.47312,1298.5,11.65797,109.73451,10.43,2572.3,1.27903,110.02107,8.05329,7.04179,0.54438,7.18565,12.79563,28.04922,27.90244,32.67911,1.28741,48.54231
ALE,10.54513,12.04754,45.34198,0.53607,3.23,9.7097,3.87849,383.0,26.98704,0.0,3.23,453.5,-9.80306,-2.87026,11.92221,11.92587,0.31119,1.51063,1.97838,7.18822,4.79596,40.35951,5.20574,67.67132
AME,38.71959,6.97267,29.66341,1.3617,4.25,17.85001,20.62374,1600.782,28.86105,12.7321,4.29,1912.614,14.87537,13.48106,17.85001,17.86342,0.81318,7.35021,9.02343,15.44396,15.44396,28.3625,1.6996,39.59169
AMN,128.59065,5.38798,24.5864,1.39167,6.81,8.21709,99.63892,603.209,15.1399,360.13513,7.22,1309.601,7.26172,363.29584,8.21709,8.6412,1.27817,11.38274,16.41294,33.04106,33.04106,42.73179,1.43743,74.61694
ASGN,4.34655,5.78196,36.01158,2.90397,4.33,5.78127,8.96806,443.5,11.06123,15.15957,4.52,1142.4,6.90703,104.64304,10.22322,5.94099,2.74518,6.6327,7.92427,13.42795,13.42795,37.03929,2.47441,58.82921
T,-9.04396,7.94206,23.29233,0.701,2.76,12.7197,-7.08896,51469.0,30.47956,5700.5093,3.33,73631.0,20.12307,5700.5093,11.89182,14.1353,0.50931,3.31904,4.76948,12.24433,11.83106,52.55563,3.95698,110.77316
ATI,36.18404,6.16289,5.38769,2.69348,-0.3,-0.57861,3.47583,259.0,9.25066,42.926918,-0.13,334.0,-3.34488,42.926918,-1.36438,-0.59015,1.41558,1.60906,2.74064,-6.33132,-2.19795,68.87801,7.11544,221.3162
AXS,7.45976,0.62076,57.33664,7.96353,6.9,11.62422,1316.0989,727.804,13.67609,166.25497,6.95,1387.254,1.30604,166.25497,11.62422,11.06246,7.96353,1.67035,6.54612,12.87917,11.55593,20.91006,1.96548,26.43833
AZZ,-11.04789,4.24242,24.82444,2.66572,1.52,4.72204,-19.77423,126.216,15.04511,-17.3913,2.12,122.899,5.67078,-17.87121,4.72204,6.54435,1.76566,4.92767,5.92218,6.29965,6.29965,25.88046,1.72431,34.91718
ABBV,0.0,3097.0913,8.71327,0.79354,6.45,20.55092,27.36376,28490.0,50.69666,137.13235,8.67,38883.0,34.74429,150.04333,20.53846,27.30733,0.5628,8.4018,12.92184,81.04199,80.95188,83.40411,2.72289,3097.0913
ABT,1.13814,6.67778,20.29498,1.8496,3.94,16.41555,37.22564,12504.0,29.02844,58.23293,4.21,24995.0,17.4733,57.30812,16.41555,17.34823,1.27707,7.58576,10.3612,20.61937,20.48764,34.82768,1.53959,53.43937
ANF,0.0,109.40932,15.01031,1.73195,-1.82,-3.4861,-25.83566,179.695,5.74953,109.40932,0.47,1906.005,9.23186,109.40932,-3.64822,0.94065,1.2437,0.24426,0.3141,-11.42817,-10.78491,62.02229,8.62764,163.31238
AKR,34.57339,1.75295,17.03858,0.32711,0.26,8.48181,0.0,0.0,0.0,21.023306,0.33,199.647,25.0323,21.023306,7.67306,9.42541,0.3063,0.51088,0.54532,1.58951,1.23997,46.3528,21.023306,86.40303
AAMI,48.1383,3.74277,-0.38769,3.05205,1.59,24.4559,-31.17296,173.1,33.04696,-54.44126,1.21,243.0,11.68624,188.94315,158.15198,17.83653,2.75927,9.00788,14.06075,89.95787,69.84733,103.86898,2.72964,48.442772
ACN,23.97535,5.75057,30.89674,1.25194,9.16,11.85463,16.73619,8446.286,16.71427,16.09632,9.31,16364.128,12.44539,15.64204,11.68892,11.6942,1.13953,11.87088,21.36633,32.33961,31.86775,14.85626,0.41517,17.44845
AYI,14.29143,6.45649,58.09559,2.231,8.38,8.85004,11.33848,533.2,15.40595,33.65231,8.69,1475.0,7.81747,23.35884,8.85004,9.11433,1.53583,7.66082,10.40306,14.68361,14.68361,21.4077,1.04445,27.23893
ADNT,-13.10177,8.92077,25.17536,1.44859,11.58,8.69883,54.96183,609.0,4.45175,83.41641,1.52,788.0,-6.63377,83.41641,8.09942,1.04667,0.88009,1.65764,2.63945,61.74422,52.46914,57.67635,6.61905,148.30759
ATGE,-21.88139,14.34977,26.41606,3.70579,1.98,9.13375,18.85777,250.551,22.52387,-56.09756,2.99,441.343,12.94244,40.50127,6.91391,13.795,3.45447,4.80074,5.72872,7.81439,7.76734,49.82738,5.1642,99.44853
ASIX,44.01089,11.42215,21.36425,1.12921,4.81,8.29805,107.99714,249.842,14.83072,193.29268,4.83,274.122,8.07881,203.38564,8.29805,8.07177,0.62677,9.08774,13.69517,26.74625,26.74625,31.23269,1.09288,45.41792
AAP,-2.39753,15.5542,50.44898,1.21141,9.55,5.60201,4.63641,1161.46,10.56066,33.7535,10.36,4923.95,6.98324,24.96587,5.60201,6.03138,0.26721,4.68884,8.02929,18.42483,18.42483,55.08803,3.30368,122.65777
WMS,19.28121,9.22822,11.4543,2.33443,2.59,11.40268,54.19952,499.645,25.19922,71.53119,2.73,690.279,15.71924,71.53119,11.30887,9.65932,1.35483,9.25862,11.33322,33.33019,24.46851,45.07994,1.74702,82.08282
AER,101.18413,2.80254,67.52682,0.68627,6.71,22.79795,-0.63975,3790.818,85.61542,323.52966,8.89,2531.983,14.21176,323.52966,22.5964,29.39843,0.68026,2.20045,2.44976,7.8671,7.89239,75.1627,13.28955,323.52966
AMG,-0.56926,5.73834,69.31343,1.69396,13.05,36.89687,24.92704,1027.4,42.58829,201.38568,14.48,1365.3,30.12819,179.7725,23.44968,24.90963,1.69396,7.27023,9.00655,20.32662,21.26044,37.8191,2.59558,71.86708
AFL,8.26328,1.60209,50.99121,3.10658,6.39,20.55902,-9.29866,4604.0,21.88525,-4.1979,6.51,8987.0,18.79249,-9.48095,20.55902,20.8454,3.10658,1.76868,6.89969,12.94678,12.94678,19.328,1.73045,23.95874
A,12.90944,5.71855,17.83209,2.22424,3.94,19.1486,28.90217,1726.0,27.31445,71.30435,4.19,3407.0,18.00918,68.28929,19.1486,20.15762,1.60831,8.66245,11.21101,23.58215,23.58215,35.07229,1.68656,54.01744
ADC,41.35104,7.43722,45.48905,1.94739,1.78,36.21211,0.0,0.0,0.0,2.29885,1.96,298.262,8.01858,33.80572,36.0344,38.58622,1.94739,2.40256,2.46217,4.24031,4.13337,33.36031,28.33867,50.06071
AL,0.0,152.95079,61.48475,0.51938,3.57,21.79524,0.9946,1851.542,92.42289,-18.67882,3.58,1205.827,-73.64089,-15.42467,21.79524,20.38112,0.51938,2.32107,2.59798,6.67597,6.67587,70.83536,9.19368,242.881
APD,16.77014,6.71961,61.15575,2.9925,9.12,19.80626,6.40609,3536.3,34.25652,6.66667,9.06,3136.9,2.87186,11.25775,20.33421,19.44877,2.66368,5.32168,6.4293,15.83794,15.41286,36.8455,2.32424,58.34185
ALG,13.71108,5.96639,59.84252,3.17904,6.75,6.01436,14.58314,162.519,12.1808,41.21339,6.7,334.514,0.76088,41.70051,6.01436,5.94413,1.46316,6.37346,7.69539,12.05508,12.05508,28.87243,1.76254,40.59246
ALK,0.0,61.685432,30.18919,0.98221,3.77,7.73964,61.685432,154.0,2.49352,61.685432,-2.13,817.0,4.27461,61.685432,7.73964,-4.31322,0.91757,-1.07154,-1.88348,14.0816,14.0816,51.80677,26.53247,107.49803
AIN,0.0,40.070953,27.22978,3.64517,3.65,12.7812,2.94888,255.864,27.53476,19.67213,3.61,378.391,18.3915,20.17365,12.74999,12.56686,2.91386,7.3088,9.03739,14.02079,13.99353,30.26341,1.48849,43.39675
ALB,4.91374,6.11892,48.07303,1.0713,1.06,6.00795,5.72438,827.99,24.87983,-69.88636,4.84,1008.471,-0.15057,-67.08785,3.71615,16.84729,0.60786,3.34882,4.33838,2.50007,3.89212,30.54203,3.08318,43.97196
AA,60.72187,19.79153,25.37751,1.55942,2.26,4.69059,152.85979,2741.0,22.55596,282.62247,6.78,3053.0,14.06559,282.62247,3.53028,10.39864,0.83835,8.68747,16.50194,10.74784,10.0885,22.51541,0.66618,29.05793
ALEX,-33.56322,11.0,14.71172,1.47664,0.5,9.2667,0.0,0.0,0.0,455.55557,0.82,137.0,31.22175,532.1429,8.89001,14.92968,1.15784,2.84744,3.24723,3.37541,3.39139,33.96284,55.812893,51.76261
ALX,-7.52852,1.39652,49.45937,13.99582,25.48,63.34381,-8.09895,76.197,36.96228,211.11111,25.48,115.059,44.26353,216.96034,64.4828,63.33291,13.99582,3.40639,3.51535,57.2958,57.2958,81.23137,14.34722,53.17325
ARE,15.97487,3.02624,102.43693,0.92206,3.82,27.42307,0.0,0.0,0.0,-36.43927,4.29,1502.85,59.92734,-25.90436,23.9428,26.41753,0.90446,1.73697,1.85721,4.09272,4.0292,32.64917,78.36773,48.50077
BABA,47.89648,31.61019,53.09586,1.70491,8.35,19.97577,9.38758,20868.723,19.06456,5.6962,8.22,45443.336,28.78059,8.83316,20.95501,20.2931,1.44618,3.85867,5.06022,18.37034,15.10201,14.34218,1.32681,16.87866
ALLE,-11.96395,9.47744,8.60502,1.85895,5.34,16.85499,-5.4383,613.8,21.40615,57.52212,5.39,1204.9,13.13559,53.67483,16.84453,16.89897,1.18147,10.9184,14.3617,60.81209,60.60188,66.80744,2.5,201.2723
ALSN,32.01754,9.08129,6.38707,1.46187,4.13,18.40133,17.98561,820.0,34.13822,57.63359,4.14,1145.0,13.62406,47.82609,18.40133,18.44213,0.93246,9.3743,12.98248,63.59712,63.59712,79.94306,3.08171,107.92079
ALL,-5.61843,2.34704,82.71352,10.72185,16.98,10.19807,-16.87326,7444.0,14.71495,-1.90641,17.76,13987.0,9.76813,-71.32353,3.16083,10.34959,10.72185,3.51222,10.97808,20.18035,18.64339,25.14597,1.13393,33.59335
ALLY,3.23737,0.09114,43.57565,0.85064,8.24,28.66093,44.41072,5471.0,51.15953,186.11111,8.71,8671.0,-5.11619,182.02765,28.61418,29.53149,0.84695,1.62238,8.0643,20.82979,19.30526,50.22479,3.14458,100.90323
MO,-65.69343,229.46739,-0.88088,0.70906,1.34,11.72375,2.69572,11924.0,56.4824,-44.16667,4.4,13939.0,34.17886,-44.59369,11.72375,38.45389,0.53514,16.79377,24.79872,1249.9712,1249.9712,106.07459,2.3519,1249.9712
AMBC,-8.76213,0.08026,22.41707,4.14921,-0.61,-6.13027,45.68629,224.0,85.82376,45.68629,-1.16,321.0,182.66284,45.68629,-6.51341,-20.68222,4.14921,0.81789,1.30477,-1.60529,-1.41405,85.29644,28.90179,45.68629
AMCR,15.35367,7.39159,3.10358,1.21197,0.6,7.39445,5.80224,1911.0,14.85888,53.84615,0.66,2732.0,1.32707,53.38125,7.30114,7.95941,0.62463,4.98066,7.2387,20.00021,20.004,58.68187,3.58294,142.02448
