,IQ_ACCT_RECV_1YR_ANN_GROWTH_CS,IQ_AR_TURNS_CS,IQ_BV_SHARE_CS,IQ_CURRENT_RATIO_CS,IQ_DILUT_EPS_EXCL_CS,IQ_EARNING_CO_MARGIN_CS,IQ_EBITDA_1YR_ANN_GROWTH_CS,IQ_EBITDA_CS,IQ_EBITDA_MARGIN_CS,IQ_EPS_1YR_ANN_GROWTH_CS,IQ_EPS_NORM_CS,IQ_GP,IQ_LFCF_MARGIN_CS,IQ_NI_1YR_ANN_GROWTH_CS,IQ_NI_MARGIN_CS,IQ_NI_NORM_MARGIN_CS,IQ_QUICK_RATIO_CS,IQ_RETURN_ASSETS_CS,IQ_RETURN_CAPITAL_CS,IQ_RETURN_COMMON_EQUITY_CS,IQ_RETURN_EQUITY_CS,IQ_TOTAL_DEBT_CAPITAL_CS,IQ_TOTAL_DEBT_EBITDA_CS,IQ_TOTAL_DEBT_EQUITY_CS
MMM,-32.7579,5.94914,7.12181,1.41116,7.26,17.0292,-16.13352,5427.0,22.96657,759.10187,10.43,10158.0,6.4817,759.10187,17.65976,24.31166,0.97033,5.61649,12.93444,92.70436,91.85118,77.81576,2.51686,759.10187
AOS,-9.16107,6.71373,13.05086,1.5525,3.63,13.97554,-4.79837,795.6,20.83759,-1.62602,3.75,1456.1,10.52389,-4.13223,13.97554,14.3394,0.91117,13.88308,21.73333,28.62738,28.62738,10.79801,0.28658,12.10512
ATEN,3.20293,3.46631,3.14588,2.48669,0.67,19.15964,0.69754,52.114,19.91395,26.41509,0.69,210.277,22.21423,25.44408,19.15964,19.53439,2.20311,6.93117,12.17119,22.8062,22.8062,4.8973,0.22908,5.14949
AIR,25.0457,6.28541,33.33333,2.97623,1.29,1.99466,20.2454,215.6,9.2883,-48.80952,3.04,442.3,-2.33069,-48.66962,1.99466,4.59693,1.11309,4.73594,5.89508,4.04561,4.04561,47.55587,5.00417,90.67911
ABM,2.78553,5.48104,28.64929,1.32654,1.28,0.97375,-12.73993,463.7,5.54705,-66.22691,3.47,1115.1,3.58115,-67.60844,0.97375,2.62344,1.19453,4.45,6.85613,4.5452,4.5452,45.23802,3.17447,82.60845
ACCO,-18.99234,4.2745,6.52555,1.49194,-1.06,-6.09771,-8.16842,218.1,13.08967,44.219086,0.74,555.4,11.64026,44.219086,-6.09771,4.24583,0.86274,3.71932,5.43919,-14.58618,-14.58618,60.36231,4.232,152.2851
ACM,13.03011,3.71554,16.4781,1.12582,3.71,3.50968,13.76687,1095.336,6.80101,358.0247,4.31,1084.341,2.77946,627.0043,2.49769,3.6273,0.99468,4.9594,10.68874,23.01493,23.77945,57.16129,2.88763,133.43375
AES,15.91549,8.00913,5.12464,0.79699,2.37,6.58902,-3.43602,3260.0,26.55156,597.05884,2.43,2314.0,-57.28946,574.2972,13.67487,13.9728,0.43997,2.7466,3.38932,63.69475,10.05531,77.83818,9.31074,302.06696
AGCO,-21.04903,8.11912,50.29226,1.34292,-5.69,-4.16399,-34.36681,1327.3,11.38151,198.15619,6.77,2899.1,6.70796,198.15619,-3.64263,4.3307,0.4914,5.501,9.49219,-10.11489,-11.1636,41.1471,2.12959,75.521
ALE,9.6124,11.31509,49.20355,1.0767,3.1,7.95529,-0.25422,431.6,28.21284,-27.90698,3.11,497.0,1.74533,-27.43828,11.72049,11.7301,0.48021,1.49228,1.92208,6.33838,3.58068,34.80811,4.19439,53.39961
AME,-5.93677,6.2002,41.85239,1.24037,5.93,19.82551,7.16959,2191.72,31.57561,4.58554,6.05,2476.467,22.11933,4.79261,19.82551,20.1565,0.69535,7.62439,9.31722,14.96967,14.96967,19.40331,1.06057,24.07458
AMN,-31.42146,4.776,18.55669,1.09002,-3.85,-4.92593,-43.67442,316.463,10.60611,63.03319,1.7,919.376,10.53199,63.03319,-4.92593,2.17575,0.99969,3.33991,4.47458,-19.11455,-19.11455,60.83943,3.46896,155.35889
ASGN,-12.23196,5.8891,40.56393,2.49986,3.83,4.27348,-14.49735,404.0,9.85438,-14.88889,4.05,1183.7,7.7524,-20.10944,4.27348,4.46521,2.33179,5.61762,6.658,9.55081,9.55081,38.34328,2.7349,62.18833
T,-2.5654,8.95546,14.54481,0.66496,1.49,10.01586,2.98192,44827.0,36.64253,-24.36548,2.17,73115.0,11.03631,-23.97222,8.94912,12.76961,0.40011,3.77983,5.58667,10.5437,10.22617,54.5774,3.22252,122.16669
ATI,14.72007,5.93927,13.08748,2.43691,2.55,8.7733,14.63066,721.6,16.54249,-9.25267,2.55,913.5,1.52077,-10.46738,8.43172,7.62293,1.24617,6.89013,9.37176,22.82062,22.27785,49.22218,2.62652,96.93638
AXS,4.53956,0.55033,66.75237,7.48966,12.35,18.15793,88.0723,1062.411,17.83272,207.21393,10.64,1728.613,6.5307,187.48578,18.15793,15.03135,7.48966,2.09391,9.15084,21.10272,19.05799,19.63923,1.40075,24.43883
AZZ,-5.99662,6.72468,27.91686,1.88877,3.46,6.6082,20.68618,318.066,20.68602,48.49785,4.02,363.461,9.44997,45.111916,6.6082,6.54693,1.24303,6.75356,7.74733,13.07693,11.36575,51.11776,3.07241,104.57329
ABBV,0.0,3031.9094,1.88358,0.6602,2.39,7.60819,2.2561,26696.0,47.38879,-12.13235,8.01,39645.0,34.5595,-12.02961,7.59399,25.153,0.42515,8.48087,16.11047,62.52101,62.29199,95.28739,2.54791,3031.9094
ABT,5.48363,6.21942,27.52443,1.67098,7.64,31.94756,2.35153,10272.0,24.48629,134.35583,3.54,23306.0,12.71126,134.17789,31.94756,14.68319,1.05192,5.7024,7.48032,31.07098,30.90582,24.17849,1.48705,31.88869
ANF,0.0,1205.3087,20.49822,1.59002,6.22,7.83551,178.96246,619.902,14.4814,12340.0,6.56,2693.412,11.16532,11552.095,7.66521,7.70065,1.01284,10.52334,14.85431,37.93327,38.18984,49.96142,1.69118,99.84581
AKR,5.5708,2.17811,17.26313,0.4878,0.19,2.05296,0.0,0.0,0.0,-5.0,0.16,263.791,39.62081,8.94178,5.46094,4.36782,0.46072,1.49001,1.57463,1.16945,0.34888,38.66856,19.678988,63.81928
AAMI,14.85356,3.28205,0.53365,1.73198,2.22,17.16772,17.16868,155.6,30.77532,43.22581,2.28,239.1,15.85493,29.17933,16.81171,17.03236,1.46505,13.03629,20.18789,282.39203,127.08638,80.60566,2.32648,49.30073
ACN,11.75791,5.01285,45.24147,1.09916,11.44,11.43236,1.6245,11112.284,17.1231,6.22098,12.09,21162.316,11.80956,5.72258,11.19443,11.6967,0.98412,11.70287,19.94209,26.9159,26.67488,12.37819,0.37081,14.12683
AYI,1.38664,6.86936,77.23377,2.7206,13.44,11.00234,6.24897,644.4,16.77688,24.90706,13.68,1781.7,12.19214,22.13873,11.00234,10.99992,2.04797,9.57518,12.44266,19.23445,19.23445,19.42553,0.88998,24.10879
ADNT,1.17396,7.79204,25.14523,1.11093,0.2,0.68764,-6.87961,758.0,5.16068,-90.69767,1.74,928.0,2.4663,-91.21951,0.12255,1.06025,0.84421,2.83622,5.04118,0.82531,3.93226,51.12826,3.49736,108.51412
ATGE,23.43964,13.80467,36.33489,0.85733,3.42,8.69043,5.66984,347.807,21.94848,53.36323,4.63,886.104,8.4117,46.50807,8.63136,11.5156,0.74076,6.13493,7.45231,9.74452,9.74452,38.24346,2.43771,61.92618
ASIX,-8.89895,10.28416,28.97296,1.08405,1.62,2.90922,-5.29348,132.663,8.74188,-16.92308,1.68,152.936,-0.83918,-19.17507,2.90922,2.96997,0.46412,2.38249,3.45177,5.83254,5.83254,31.2027,2.64836,45.35455
AAP,-34.63206,13.93658,36.30244,1.31684,-9.8,-6.45408,-30.40584,304.876,3.35238,197.6096,-0.05,3840.049,11.59077,197.6096,-3.69228,-0.03279,0.51732,0.06986,0.12134,-25.03183,-25.03183,65.6535,13.60505,191.15047
WMS,4.49514,9.21812,16.2741,2.95701,6.45,17.85687,1.17429,878.985,30.579,6.08553,6.42,1145.949,15.56701,0.55789,17.73943,17.47722,1.851,14.73269,17.97268,51.57273,45.1134,52.32929,1.59941,109.7724
AER,-3.87466,5.40659,92.00314,0.48698,10.79,29.80375,1.20977,5742.206,81.54828,-21.69811,10.22,4606.249,-31.58809,-33.08128,29.80385,27.55206,0.4768,2.76962,3.14456,12.4277,12.4275,72.51971,7.89771,263.8972
AMG,11.21064,5.24586,113.01689,2.27054,15.13,36.28791,-5.42861,749.1,36.7044,-13.14581,16.22,1125.6,17.51556,-23.97087,25.06737,24.71665,2.27054,4.93768,5.84819,14.75798,15.40958,37.36088,3.70138,64.5084
AFL,-12.76503,1.35236,47.45402,8.31001,9.63,31.21702,15.19411,5163.0,29.61115,23.77892,9.68,9628.0,35.85541,16.82765,31.21702,31.22805,8.31001,2.62137,10.16969,22.64002,22.64002,22.31813,1.45226,28.73017
A,2.55616,4.97897,20.68073,2.08918,4.43,19.80031,7.94857,1847.0,28.37174,5.72792,4.77,3535.0,17.82834,3.95161,19.80031,21.24885,1.4,8.80733,10.93132,21.9535,21.9535,37.73226,1.93503,60.59681
ADC,28.28315,6.51735,49.74448,0.79665,1.78,30.7622,0.0,0.0,0.0,4.70588,1.79,542.246,17.49388,11.3192,30.6593,29.32567,0.79665,2.23539,2.27884,3.65271,3.54468,33.74321,37.0697,50.92794
AL,0.0,185.6089,67.63171,0.16322,3.33,17.19099,0.49438,2268.135,91.16463,-35.21401,3.34,1589.896,-105.59564,-30.41186,17.19099,14.9853,0.16322,2.2405,2.59861,5.82205,5.82201,72.84817,8.9104,268.29932
APD,3.63617,6.24483,76.61261,1.52239,17.24,32.03395,6.83536,4340.4,35.8693,67.37864,12.04,3931.9,-28.63267,66.42901,31.63645,22.13857,1.23287,5.04578,5.98232,24.51147,22.57995,44.55519,3.45731,80.35954
